City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Kyaikkami,MM,81.43,heavy intensity rain,16.08,97.5675,Happy Family Kyaikkami
601,Tomatlan,MX,88.34,overcast clouds,19.9333,-105.25,Norma franco
609,Luanda,AO,82.4,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
612,Morehead,US,83.86,scattered clouds,37.2711,-87.1764,CCI Express Inn
613,Lamu,KE,78.49,broken clouds,-2.2717,40.902,Lamu House
615,Lhokseumawe,ID,77.67,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
616,Gillette,US,85.24,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
618,Huilong,CN,75.04,light rain,31.8111,121.655,Hilton Garden Inn Qidong
622,Cedar City,US,82.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
628,Ouango,CF,76.32,overcast clouds,4.3133,22.5552,
629,Dire Dawa,ET,80.31,broken clouds,9.5931,41.8661,Samrat Hotel
630,Barretos,BR,86.31,clear sky,-20.5572,-48.5678,Dan Inn Barretos
631,Itapetinga,BR,82.45,broken clouds,-15.2489,-40.2478,Hotel Del Rey
632,New Albany,US,84.29,few clouds,38.2856,-85.8241,Hampton Inn New Albany Louisville West
634,Mbour,SN,86.85,scattered clouds,14.422,-16.9638,Tama Lodge
638,Jacqueville,CI,85.91,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
645,Serik,TR,80.85,clear sky,36.9169,31.0989,Armas Belek - Ultra All Inclusive
647,Port Blair,IN,83.84,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
649,Baculin,PH,78.6,moderate rain,7.4525,126.5842,Shovy's Cove
